condition,unit_a,unit_b,dissimilarity
traditional,cm_002,mkp_001,0.017291244652221427
traditional,cm_002,mkp_002,0.018999028696610964
traditional,cm_002,mix_001,0.024512909150460893
traditional,cm_002,mix_002,0.03076031719500405
traditional,cm_002,npv_001,0.021021552557459633
traditional,cm_002,npv_002,0.008085962397567537
traditional,cm_002,dol_001,0.021484824418492532
traditional,cm_002,dol_002,0.004063704283321479
traditional,cm_002,pbp_001,0.01937527284577556
traditional,cm_002,pbp_002,0.014989947766091305
traditional,cm_002,pel_001,0.012042364972442599
traditional,cm_002,pel_002,0.008717539634987004
traditional,cm_002,spo_001,0.009507398161301972
traditional,cm_002,spo_002,0.03559019120875251
traditional,cm_002,roi_001,0.010684346690738478
traditional,cm_002,roi_002,0.014991584588192275
traditional,cm_002,tp_001,0.010304038708362717
traditional,cm_002,tp_002,0.0056289352695426675
traditional,cm_002,wac_001,0.012147361436402049
traditional,cm_002,wac_002,0.006613083503391959
traditional,ltv_001,ltv_002,0.005815373420546499
traditional,ltv_001,mos_001,0.002321070528441327
traditional,ltv_001,mos_002,0.005691182242921422
traditional,ltv_001,mkp_001,0.01818074792533242
traditional,ltv_001,mkp_002,0.018999088325131752
traditional,ltv_001,mix_001,0.022915037801341853
traditional,ltv_001,mix_002,0.031658326551825655
traditional,ltv_001,npv_001,0.01056031459534379
traditional,ltv_001,npv_002,0.0023870138903545612
traditional,ltv_001,dol_001,0.01777770510304788
traditional,ltv_001,dol_002,0.009343489406876349
traditional,ltv_001,pbp_001,0.012592560301565081
traditional,ltv_001,pbp_002,0.012831658842598959
traditional,ltv_001,pel_001,0.015447092031647514
traditional,ltv_001,pel_002,0.011452704542155967
traditional,ltv_001,spo_001,0.016833601386909036
traditional,ltv_001,spo_002,0.048375656477956386
traditional,ltv_001,roi_001,0.002285676252591351
traditional,ltv_001,roi_002,0.005762258019313182
traditional,ltv_001,tp_001,0.011092244243045224
traditional,ltv_001,tp_002,0.006914640178147691
traditional,ltv_001,wac_001,0.012916936318534522
traditional,ltv_001,wac_002,0.009435905441149806
traditional,ltv_002,mos_001,0.01018681914084707
