level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr,ci_excludes_0
network,Cont,auc,S-T,-3.2457822586421123,0.4571567584289898,-4.159596515612013,-2.3331783996713904,30,1.2481757617774016e-12,4.368615166220906e-12,True
network,Cont,auc,U-T,-0.35455624039278866,0.2911525533946383,-0.9156600295322084,0.24564321869232897,30,0.22331217695417993,0.3907963096698149,False
network,Cont,auc,S-U,-2.8912260182493235,0.3868565770220074,-3.6382587769560213,-2.1378371369198432,30,7.800754464207578e-14,1.365132031236326e-13,True
network,Cont,mean,S-T,-0.015561437249427502,0.002916912388455334,-0.021312269619011493,-0.009823538150303545,30,9.559698372674942e-08,2.2305962869574864e-07,True
network,Cont,mean,U-T,-0.0021966913355645455,0.0018456919475123414,-0.005825671796294076,0.0014261722987339083,30,0.23397869818660844,0.40946272182656474,False
network,Cont,mean,S-U,-0.013364745913862957,0.002313930176701138,-0.017971849765041136,-0.008860690158006189,30,7.659852922808458e-09,1.0723794091931842e-08,True
network,Cont,peak,S-T,-0.002724267253651812,0.005271075841938939,-0.012814538350248145,0.007715503742353741,30,0.6052725676453079,0.8268505021046421,False
network,Cont,peak,U-T,0.00961902078974623,0.004007642934218724,0.002268524191005611,0.018080618030771652,30,0.01638749893908393,0.028678123143396878,True
network,Cont,peak,S-U,-0.012343288043398041,0.005159255855919,-0.022424721674203073,-0.0024224549483811107,30,0.016736075183264178,0.02343050525656985,True
network,Cont,sustained,S-T,-0.009149117506376323,0.009852775616158365,-0.028780720585504085,0.00947638784829767,30,0.3531053633975698,0.4943475087565977,False
network,Cont,sustained,U-T,-0.023389005808267194,0.007257178002803452,-0.037206284795311136,-0.008603335874002084,30,0.0012690919846600457,0.00888364389262032,True
network,Cont,sustained,S-U,0.01423988830189087,0.0073359861264758455,-0.0005955335325714926,0.02817453320558236,30,0.052246055975833934,0.07314447836616751,False
network,Cont,time_to_peak,S-T,-19.32629024504128,13.12632843636191,-44.00975857135208,6.6240594316146355,30,0.14093172214544558,0.49326102750905954,False
network,Cont,time_to_peak,U-T,6.296226234928577,8.064054274142437,-8.431515072287826,22.349329217782227,30,0.43493380010836147,0.6089073201517061,False
network,Cont,time_to_peak,S-U,-25.62251647996986,10.863223291456018,-45.57123571268564,-3.6612000994773695,30,0.018341659874766034,0.032097904780840555,True
network,Default,auc,S-T,-0.08973535694006193,0.3336178595947199,-0.7635998585627615,0.5345468743749867,30,0.7879477835138706,0.7879477835138706,False
network,Default,auc,U-T,0.4244110479152373,0.26827908524768945,-0.09060069576206535,0.9732631150184935,30,0.11365507180708673,0.312789758651483,False
network,Default,auc,S-U,-0.5141464048552993,0.2960703866907077,-1.0801153951772395,0.04033585150572937,30,0.08246342475396831,0.08246342475396831,False
network,Default,mean,S-T,0.002901106012106225,0.002215111327596848,-0.0015794492757098292,0.007122884912763154,30,0.19030120800310313,0.22201807600362033,False
network,Default,mean,U-T,0.0025779006419195324,0.0016940923084481072,-0.0008703711615899892,0.0060062717176975105,30,0.12808421196191672,0.2988631612444723,False
network,Default,mean,S-U,0.0003232053701866925,0.001902915490838109,-0.0034159423370785707,0.003959608705120708,30,0.8651300983732835,0.8651300983732835,False
network,Default,peak,S-T,-0.018701152540384014,0.008991119382807807,-0.03765504342843847,-0.0020501864970060833,30,0.037529366482478024,0.2627055653773462,True
network,Default,peak,U-T,0.02442573878519081,0.0057098986919585665,0.013308508065804286,0.03603272078206616,30,1.887592619402999e-05,6.606574167910497e-05,True
network,Default,peak,S-U,-0.043126891325574825,0.007338559022134704,-0.05868016853941136,-0.029888414288555043,30,4.183943201533628e-09,2.9287602410735398e-08,True
network,Default,sustained,S-T,0.04556808897097696,0.012865899594795047,0.02021625674161341,0.07007776438446629,30,0.00039744814573225494,0.0006955342550314461,True
network,Default,sustained,U-T,-0.006536144528518429,0.01017027357208753,-0.027663748039964946,0.01300708400234642,30,0.5204373059878469,0.7286122283829857,False
network,Default,sustained,S-U,0.05210423349949539,0.009681195559852477,0.03269484530892457,0.07110986081998086,30,7.366111618447178e-08,1.289069533228256e-07,True
network,Default,time_to_peak,S-T,12.540536229211567,14.771566416406754,-17.51820525575469,40.216381525537315,30,0.3959010186912171,0.92376904361284,False
network,Default,time_to_peak,U-T,44.69676554948277,11.549015411738516,19.976482336608615,65.62954650216032,30,0.00010875513759337923,0.0003806429815768273,True
network,Default,time_to_peak,S-U,-32.1562293202712,10.590645546880559,-52.672349586023266,-10.701936229153835,30,0.002395120216617245,0.008382920758160358,True
network,DorsAttn,auc,S-T,-4.024460425603404,0.5336569674738911,-5.072725558790845,-2.986650475321245,30,4.65355182329912e-14,3.2574862763093843e-13,True
network,DorsAttn,auc,U-T,-0.11848854500409678,0.3470146442543069,-0.8123677467885823,0.5128182501461361,30,0.7327639834780733,0.8469612665606107,False
network,DorsAttn,auc,S-U,-3.905971880599307,0.4081762017248973,-4.702123124244282,-3.142789881036084,30,1.0760297089145701e-21,7.532207962401991e-21,True
network,DorsAttn,mean,S-T,-0.022401064132678093,0.0031996608992356434,-0.028763177861259672,-0.0163750891123474,30,2.540069337927224e-12,1.778048536549057e-11,True
network,DorsAttn,mean,U-T,-0.0005142389009367295,0.0021599455203669365,-0.004852184035930076,0.0034897975185103447,30,0.8118193799055033,0.8118193799055033,False
network,DorsAttn,mean,S-U,-0.021886825231741364,0.0023703078020587466,-0.02642411282819518,-0.017317005555267658,30,2.6132382884435682e-20,1.8292668019104976e-19,True
network,DorsAttn,peak,S-T,0.002897997724651832,0.012775059183489998,-0.02308356560622222,0.027767551403672232,30,0.8205418709953224,0.8268505021046421,False
network,DorsAttn,peak,U-T,0.01999843294758968,0.01039608706118284,6.566453742541243e-05,0.04087092367076732,30,0.054398468381804566,0.054398468381804566,True
network,DorsAttn,peak,S-U,-0.01710043522293785,0.00821758405024764,-0.034283374454226204,-0.001847129171771361,30,0.03743788474797455,0.04367753220597031,True
network,DorsAttn,sustained,S-T,-0.08756979103522862,0.011337217751381344,-0.11099782354961488,-0.06690854114640678,30,1.1264736720693948e-14,7.885315704485764e-14,True
network,DorsAttn,sustained,U-T,-0.009915984148227218,0.011621177984147683,-0.03249293264482199,0.012420489935016484,30,0.39351046994504635,0.6886433224038311,False
