text,variant,condition,mean,min,n,n_below_threshold,threshold
body,incorrect,traditional,0.6666815360387166,0.5209088325500488,30,0,0.5
body,primary,ai_scaffolding,0.7064267774422963,0.5997076630592346,30,0,0.5
body,primary,ai_substitution,0.6856988648573558,0.5891547799110413,30,0,0.5
body,primary,traditional,0.6849631309509278,0.528581976890564,30,0,0.5
body,reworded_1,ai_scaffolding,0.6988592922687531,0.6139403581619263,30,0,0.5
body,reworded_1,ai_substitution,0.6901915311813355,0.6019235849380493,30,0,0.5
body,reworded_1,traditional,0.6802363018194835,0.5583536624908447,30,0,0.5
body,reworded_2,ai_scaffolding,0.6920957545439402,0.6001793146133423,30,0,0.5
body,reworded_2,ai_substitution,0.6832853714625041,0.6001793146133423,30,0,0.5
body,reworded_2,traditional,0.6812373181184133,0.5570538640022278,30,0,0.5
explanation,incorrect,traditional,0.6614368538061778,0.5209088325500488,30,0,0.5
explanation,primary,ai_scaffolding,0.7047585924466451,0.5997076630592346,30,0,0.5
explanation,primary,ai_substitution,0.6841101169586181,0.5891547799110413,30,0,0.5
explanation,primary,traditional,0.6829166332880656,0.528581976890564,30,0,0.5
explanation,reworded_1,ai_scaffolding,0.6974434792995453,0.6139403581619263,30,0,0.5
explanation,reworded_1,ai_substitution,0.6884004890918731,0.6019235849380493,30,0,0.5
explanation,reworded_1,traditional,0.6785306632518768,0.5441705584526062,30,0,0.5
explanation,reworded_2,ai_scaffolding,0.6906267980734507,0.6001793146133423,30,0,0.5
explanation,reworded_2,ai_substitution,0.6816614707310994,0.6001793146133423,30,0,0.5
explanation,reworded_2,traditional,0.6791316906611125,0.5560868978500366,30,0,0.5
