level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr,ci_excludes_0
network,Cont,auc,S-T,-2.1048428986180787,0.3927634560217647,-2.855595871443516,-1.300287949509316,30,8.36561041354054e-08,1.9519757631594596e-07,True
network,Cont,auc,U-T,0.15452136226118596,0.37415519689980486,-0.5454351609596603,0.9540194943770304,30,0.6796158838380738,0.6796158838380738,False
network,Cont,auc,S-U,-2.2593642608792646,0.29490025015671506,-2.8238705223014686,-1.6769604698636893,30,1.8384186363825256e-14,2.5737860909355357e-14,True
network,Cont,mean,S-T,-0.012721801317126585,0.0022745551149820965,-0.01716489220438546,-0.00804923122473096,30,2.2305802121128393e-08,5.204687161596625e-08,True
network,Cont,mean,U-T,-0.0009153097316150696,0.0020443844549120046,-0.00472986834437475,0.003402985611880103,30,0.6543560189058294,0.7634153553901343,False
network,Cont,mean,S-U,-0.011806491585511515,0.0016078269031300516,-0.01494504172194229,-0.00861378988738128,30,2.086463486760699e-13,2.9210488814649787e-13,True
network,Cont,peak,S-T,-0.005892155259599536,0.004518015799825644,-0.014832162644898082,0.00286091188506939,30,0.19218357907049055,0.5010132806773454,False
network,Cont,peak,U-T,0.007966742703317313,0.004762404061997212,-0.0016483742903498685,0.017113152159009635,30,0.09435868674460432,0.1100851345353717,False
network,Cont,peak,S-U,-0.013858897962916849,0.004016400650767203,-0.021843517955203718,-0.006291662767368053,30,0.0005593904694845822,0.000783146657278415,True
network,Cont,sustained,S-T,-0.017091518575747942,0.00639610015968039,-0.029662418062179733,-0.004447536448923672,30,0.007536064615546619,0.010550490461765266,True
network,Cont,sustained,U-T,-0.026780960706505267,0.00651773105583152,-0.03939070946211499,-0.014114812714815964,30,3.974806748042559e-05,0.00027823647236297915,True
network,Cont,sustained,S-U,0.009689442130757325,0.006036440625324259,-0.0022484606734608325,0.021229162064851634,30,0.10845899519498628,0.1518425932729808,False
network,Cont,time_to_peak,S-T,-12.7,9.078941694920234,-31.569166666666664,4.666666666666671,30,0.16186053225381236,0.2832559314441716,False
network,Cont,time_to_peak,U-T,9.133333333333335,8.375232961733303,-7.335833333333331,25.56833333333334,30,0.27548549997324834,0.34294948166809,False
network,Cont,time_to_peak,S-U,-21.833333333333336,8.06401805038231,-37.766666666666666,-6.364166666666683,30,0.006779195776904913,0.015818123479444796,True
network,Default,auc,S-T,1.089911593755369,0.32104502697501597,0.46285418184442745,1.7254894770933606,30,0.0006865692715924309,0.0011661030575925372,True
network,Default,auc,U-T,0.9560892017309045,0.33582282880947956,0.3216195762149254,1.6627788047455652,30,0.004413269851824822,0.015446444481386875,True
network,Default,auc,S-U,0.13382239202446444,0.24209246355843875,-0.3408651928988208,0.6212226599122159,30,0.580418251792291,0.580418251792291,False
network,Default,mean,S-T,0.00678122115235964,0.0018528474663975654,0.0030600609626142876,0.01031611325032383,30,0.000252321820715651,0.00044156318625238923,True
network,Default,mean,U-T,0.004344058460314789,0.001846051321451114,0.000815253120961041,0.00822267653432733,30,0.018614504997367717,0.065150767490787,True
network,Default,mean,S-U,0.0024371626920448508,0.001462494707681679,-0.0004885028759716095,0.005338004327447407,30,0.09562539955299844,0.11156296614516485,False
network,Default,peak,S-T,-0.004500013137676053,0.0055031410127951656,-0.01587951092850487,0.005673481929425725,30,0.41351867876355874,0.5010132806773454,False
network,Default,peak,U-T,0.031078202845313884,0.006171678971366798,0.01906825935543314,0.04282969400452767,30,4.7631559302390927e-07,1.6671045755836824e-06,True
