scenario,half_life_weeks,lambda_O,network,median_d,prsup,n_draws
substitution,8.0,0.5,Vis,0.80278969498439,0.7156666666666667,100
substitution,8.0,0.6667,Cont,-0.24881671976801722,0.43616666666666665,100
substitution,8.0,0.6667,Default,1.335872209992424,0.8459333333333333,100
substitution,8.0,0.6667,DorsAttn,-0.8037012122017961,0.24696666666666667,100
substitution,8.0,0.6667,Limbic,0.7535446762514946,0.7375333333333333,100
substitution,8.0,0.6667,SalVentAttn,-0.47236736430968906,0.3974666666666667,100
substitution,8.0,0.6667,SomMot,0.25264950763593974,0.5914666666666667,100
substitution,8.0,0.6667,Vis,0.4796441353220878,0.6487333333333334,100
substitution,8.0,0.8333,Cont,-0.3005036344061788,0.4196333333333333,100
substitution,8.0,0.8333,Default,1.0225339570548782,0.7987000000000001,100
substitution,8.0,0.8333,DorsAttn,-0.8153172489737851,0.24100000000000002,100
substitution,8.0,0.8333,Limbic,0.49826836492481646,0.6757,100
substitution,8.0,0.8333,SalVentAttn,-0.5696788606223373,0.3674,100
substitution,8.0,0.8333,SomMot,0.05330341069912861,0.5559666666666666,100
substitution,8.0,0.8333,Vis,0.25553364681378593,0.6053000000000001,100
substitution,8.0,1.0,Cont,-0.33913912059267315,0.4053666666666667,100
substitution,8.0,1.0,Default,0.791180571209259,0.7611666666666668,100
substitution,8.0,1.0,DorsAttn,-0.8237586320396024,0.2364,100
substitution,8.0,1.0,Limbic,0.31192372869265594,0.628,100
substitution,8.0,1.0,SalVentAttn,-0.6443954440019972,0.3422333333333334,100
substitution,8.0,1.0,SomMot,-0.10278415915323744,0.5253666666666666,100
substitution,8.0,1.0,Vis,0.08362346509967351,0.5720000000000001,100
substitution,13.0,0.0,Cont,0.4125136004264354,0.6338333333333334,100
substitution,13.0,0.0,Default,5.621495961433768,1.0,100
substitution,13.0,0.0,DorsAttn,-0.6139855738608824,0.3516666666666666,100
substitution,13.0,0.0,Limbic,4.215918427638257,1.0,100
substitution,13.0,0.0,SalVentAttn,0.6701879494557352,0.6786333333333333,100
substitution,13.0,0.0,SomMot,2.6181247549862516,1.0,100
substitution,13.0,0.0,Vis,3.3432984485831803,1.0,100
substitution,13.0,0.1667,Cont,0.06507934296723579,0.5428999999999999,100
substitution,13.0,0.1667,Default,3.5576454532747963,0.9999666666666667,100
substitution,13.0,0.1667,DorsAttn,-0.7367992788449891,0.30823333333333336,100
substitution,13.0,0.1667,Limbic,2.5505184862817396,0.9980333333333333,100
substitution,13.0,0.1667,SalVentAttn,0.14081331169976502,0.5477666666666666,100
substitution,13.0,0.1667,SomMot,1.4621533537707714,0.9197333333333333,100
substitution,13.0,0.1667,Vis,1.933989676738094,0.9910333333333334,100
substitution,13.0,0.3333,Cont,-0.1440223921851541,0.4898,100
substitution,13.0,0.3333,Default,2.461564010107515,0.9702333333333333,100
substitution,13.0,0.3333,DorsAttn,-0.8115107694585271,0.2790333333333333,100
substitution,13.0,0.3333,Limbic,1.6852641790297218,0.9251333333333334,100
substitution,13.0,0.3333,SalVentAttn,-0.17191790677410293,0.49016666666666664,100
substitution,13.0,0.3333,SomMot,0.8500193813742365,0.6982666666666667,100
substitution,13.0,0.3333,Vis,1.2104644617370837,0.8027333333333333,100
substitution,13.0,0.5,Cont,-0.27910890390944004,0.4508,100
substitution,13.0,0.5,Default,1.7898561555873131,0.9007,100
substitution,13.0,0.5,DorsAttn,-0.8649060204039822,0.2566333333333333,100
substitution,13.0,0.5,Limbic,1.1272889804572306,0.8133333333333332,100
substitution,13.0,0.5,SalVentAttn,-0.3824084306097545,0.4437,100
substitution,13.0,0.5,SomMot,0.4562893836629806,0.6174000000000001,100
substitution,13.0,0.5,Vis,0.7452164447469862,0.688,100
substitution,13.0,0.6667,Cont,-0.37102997991774955,0.42310000000000003,100
substitution,13.0,0.6667,Default,1.3383190374368858,0.8421,100
substitution,13.0,0.6667,DorsAttn,-0.9000575705208362,0.24136666666666667,100
substitution,13.0,0.6667,Limbic,0.7561660924517162,0.7272666666666667,100
substitution,13.0,0.6667,SalVentAttn,-0.5275417217125731,0.40576666666666666,100
substitution,13.0,0.6667,SomMot,0.1894025589084393,0.5732,100
substitution,13.0,0.6667,Vis,0.42409320989346255,0.629,100
substitution,13.0,0.8333,Cont,-0.4386775320482453,0.39909999999999995,100
substitution,13.0,0.8333,Default,1.0099085651888893,0.7911333333333332,100
substitution,13.0,0.8333,DorsAttn,-0.9247273017525701,0.22906666666666667,100
substitution,13.0,0.8333,Limbic,0.5004580197040347,0.6649666666666667,100
substitution,13.0,0.8333,SalVentAttn,-0.6300712967832203,0.3736333333333334,100
substitution,13.0,0.8333,SomMot,-0.010130541095992882,0.5406333333333333,100
substitution,13.0,0.8333,Vis,0.20936064001383276,0.5893999999999999,100
substitution,13.0,1.0,Cont,-0.4905939225506041,0.38136666666666663,100
substitution,13.0,1.0,Default,0.7642331475537127,0.7516666666666667,100
substitution,13.0,1.0,DorsAttn,-0.9426463893362627,0.21846666666666667,100
substitution,13.0,1.0,Limbic,0.30373378255762795,0.6184333333333334,100
substitution,13.0,1.0,SalVentAttn,-0.7090057907904104,0.3456666666666667,100
substitution,13.0,1.0,SomMot,-0.16581868521649545,0.5145666666666666,100
substitution,13.0,1.0,Vis,0.039086112922581566,0.5595666666666667,100
substitution,20.0,0.0,Cont,0.4392826767953515,0.6338666666666667,100
substitution,20.0,0.0,Default,5.851673947393085,1.0,100
substitution,20.0,0.0,DorsAttn,-0.5863673335144386,0.387,100
substitution,20.0,0.0,Limbic,4.393764434655887,1.0,100
substitution,20.0,0.0,SalVentAttn,0.6818158829224301,0.6721333333333334,100
substitution,20.0,0.0,SomMot,2.5704092076933946,1.0,100
substitution,20.0,0.0,Vis,3.3384679293887984,1.0,100
substitution,20.0,0.1667,Cont,0.05602182437303101,0.5467,100
substitution,20.0,0.1667,Default,3.6498770132223104,1.0,100
substitution,20.0,0.1667,DorsAttn,-0.7355224070886446,0.3304666666666667,100
substitution,20.0,0.1667,Limbic,2.6011511611278593,0.9994,100
substitution,20.0,0.1667,SalVentAttn,0.14025354541205293,0.5491666666666667,100
substitution,20.0,0.1667,SomMot,1.4210835785213152,0.9072333333333333,100
substitution,20.0,0.1667,Vis,1.9034279522055333,0.9940666666666667,100
substitution,20.0,0.3333,Cont,-0.1679091527911821,0.49516666666666664,100
substitution,20.0,0.3333,Default,2.513779111551019,0.9737666666666667,100
substitution,20.0,0.3333,DorsAttn,-0.8242273203711437,0.2920333333333333,100
substitution,20.0,0.3333,Limbic,1.7128093445194006,0.9292,100
substitution,20.0,0.3333,SalVentAttn,-0.18071915724870974,0.49596666666666667,100
substitution,20.0,0.3333,SomMot,0.8144433081405253,0.6800333333333333,100
substitution,20.0,0.3333,Vis,1.1945747264289444,0.7914666666666667,100
substitution,20.0,0.5,Cont,-0.3150637244516008,0.4565666666666667,100
substitution,20.0,0.5,Default,1.807822790096548,0.9020333333333334,100
substitution,20.0,0.5,DorsAttn,-0.8909314789129938,0.26426666666666665,100
substitution,20.0,0.5,Limbic,1.1532301563817784,0.8114,100
substitution,20.0,0.5,SalVentAttn,-0.3992257311424595,0.45343333333333335,100
substitution,20.0,0.5,SomMot,0.4301840003598705,0.6087,100
substitution,20.0,0.5,Vis,0.7311242379188847,0.6798333333333333,100
substitution,20.0,0.6667,Cont,-0.42171070622513834,0.4262666666666666,100
substitution,20.0,0.6667,Default,1.355793465148051,0.8411333333333333,100
substitution,20.0,0.6667,DorsAttn,-0.9379808507074281,0.24316666666666667,100
substitution,20.0,0.6667,Limbic,0.7717566888215263,0.7195333333333334,100
substitution,20.0,0.6667,SalVentAttn,-0.5483898170224488,0.4143333333333333,100
substitution,20.0,0.6667,SomMot,0.1631518416340953,0.5676333333333333,100
substitution,20.0,0.6667,Vis,0.4130078637280702,0.6239333333333333,100
substitution,20.0,0.8333,Cont,-0.5035212475604104,0.4021333333333333,100
substitution,20.0,0.8333,Default,1.0183856576532313,0.7889,100
substitution,20.0,0.8333,DorsAttn,-0.9725632678880289,0.22626666666666664,100
substitution,20.0,0.8333,Limbic,0.5073116555160981,0.6589,100
substitution,20.0,0.8333,SalVentAttn,-0.6539400952332857,0.3814333333333333,100
substitution,20.0,0.8333,SomMot,-0.039608842718735486,0.5384,100
substitution,20.0,0.8333,Vis,0.19307859935043203,0.5864666666666667,100
substitution,20.0,1.0,Cont,-0.5657826791379006,0.38043333333333335,100
substitution,20.0,1.0,Default,0.7635297307785986,0.7475333333333333,100
substitution,20.0,1.0,DorsAttn,-0.9969222089135261,0.21183333333333335,100
substitution,20.0,1.0,Limbic,0.3048393916497607,0.6149333333333333,100
substitution,20.0,1.0,SalVentAttn,-0.7353229500308017,0.3514,100
substitution,20.0,1.0,SomMot,-0.19473568349965856,0.5125333333333333,100
substitution,20.0,1.0,Vis,0.02171099011356792,0.5566333333333333,100
substitution,32.0,0.0,Cont,0.4778636315607514,0.6361666666666667,100
substitution,32.0,0.0,Default,6.144206337601277,1.0,100
substitution,32.0,0.0,DorsAttn,-0.5533827005561223,0.41590000000000005,100
substitution,32.0,0.0,Limbic,4.5492097532812545,1.0,100
substitution,32.0,0.0,SalVentAttn,0.7199341795329823,0.6731333333333334,100
substitution,32.0,0.0,SomMot,2.5763173838877647,1.0,100
substitution,32.0,0.0,Vis,3.3974410036369607,1.0,100
substitution,32.0,0.1667,Cont,0.07301591935377155,0.5569666666666666,100
substitution,32.0,0.1667,Default,3.7548022065566773,1.0,100
substitution,32.0,0.1667,DorsAttn,-0.7220214323963032,0.35423333333333334,100
substitution,32.0,0.1667,Limbic,2.692435444965154,0.9999333333333333,100
substitution,32.0,0.1667,SalVentAttn,0.15875580638097425,0.5581,100
substitution,32.0,0.1667,SomMot,1.419017270012789,0.9063333333333334,100
substitution,32.0,0.1667,Vis,1.9269447850058494,0.9976999999999999,100
substitution,32.0,0.3333,Cont,-0.16677023773956234,0.5075999999999999,100
substitution,32.0,0.3333,Default,2.57221380913953,0.9797,100
substitution,32.0,0.3333,DorsAttn,-0.8233071055089619,0.3094,100
substitution,32.0,0.3333,Limbic,1.7592601454994692,0.9376333333333333,100
substitution,32.0,0.3333,SalVentAttn,-0.1638991363851267,0.5069,100
substitution,32.0,0.3333,SomMot,0.8117186055887353,0.6790666666666667,100
substitution,32.0,0.3333,Vis,1.2093563469106763,0.7940666666666667,100
substitution,32.0,0.5,Cont,-0.3366041528690995,0.4708333333333334,100
substitution,32.0,0.5,Default,1.88795399940091,0.9095666666666666,100
substitution,32.0,0.5,DorsAttn,-0.8961650371426211,0.2735,100
substitution,32.0,0.5,Limbic,1.1977993688199668,0.8163666666666667,100
substitution,32.0,0.5,SalVentAttn,-0.3937583863051384,0.4644,100
substitution,32.0,0.5,SomMot,0.42805413902135203,0.6116333333333334,100
substitution,32.0,0.5,Vis,0.7474527124898566,0.6834,100
substitution,32.0,0.6667,Cont,-0.45437848525738755,0.43939999999999996,100
substitution,32.0,0.6667,Default,1.4249505704361747,0.8481333333333333,100
substitution,32.0,0.6667,DorsAttn,-0.954057467173234,0.24636666666666668,100
substitution,32.0,0.6667,Limbic,0.7968456881865873,0.7226666666666667,100
substitution,32.0,0.6667,SalVentAttn,-0.547603577505773,0.4253,100
substitution,32.0,0.6667,SomMot,0.16311136057947268,0.5719333333333334,100
substitution,32.0,0.6667,Vis,0.42282039110850544,0.6275666666666667,100
substitution,32.0,0.8333,Cont,-0.5402744530140062,0.41186666666666666,100
substitution,32.0,0.8333,Default,1.0807028327940722,0.7957333333333334,100
substitution,32.0,0.8333,DorsAttn,-0.9984330372246304,0.22546666666666668,100
substitution,32.0,0.8333,Limbic,0.5198472731401822,0.6609333333333334,100
substitution,32.0,0.8333,SalVentAttn,-0.6560299400415521,0.39153333333333334,100
substitution,32.0,0.8333,SomMot,-0.04000052144710402,0.5406,100
substitution,32.0,0.8333,Vis,0.20125242603655105,0.5919666666666666,100
substitution,32.0,1.0,Cont,-0.6017281068641547,0.3899666666666667,100
substitution,32.0,1.0,Default,0.8143472153319664,0.7535333333333334,100
substitution,32.0,1.0,DorsAttn,-1.0278565469218832,0.2077,100
substitution,32.0,1.0,Limbic,0.31367023593435844,0.6186666666666667,100
substitution,32.0,1.0,SalVentAttn,-0.7397240076059974,0.35979999999999995,100
substitution,32.0,1.0,SomMot,-0.19545648799520332,0.5168333333333334,100
substitution,32.0,1.0,Vis,0.024069968953433843,0.5615333333333333,100
substitution,52.0,0.0,Cont,0.5401031269069672,0.6487333333333334,100
substitution,52.0,0.0,Default,6.529286741539135,1.0,100
substitution,52.0,0.0,DorsAttn,-0.5015452514699225,0.4407666666666667,100
substitution,52.0,0.0,Limbic,4.812104774124689,1.0,100
substitution,52.0,0.0,SalVentAttn,0.7833920862433068,0.6855666666666668,100
substitution,52.0,0.0,SomMot,2.65396559477837,1.0,100
substitution,52.0,0.0,Vis,3.5383751768945473,1.0,100
substitution,52.0,0.1667,Cont,0.11217260329624343,0.5729,100
substitution,52.0,0.1667,Default,3.9511607779408386,1.0,100
substitution,52.0,0.1667,DorsAttn,-0.6931777770363328,0.3766333333333333,100
substitution,52.0,0.1667,Limbic,2.8587434588781466,1.0,100
substitution,52.0,0.1667,SalVentAttn,0.206411391024901,0.5745666666666667,100
substitution,52.0,0.1667,SomMot,1.4888561227067483,0.9258666666666667,100
substitution,52.0,0.1667,Vis,2.0356343783800437,0.9997333333333333,100
substitution,52.0,0.3333,Cont,-0.14391178408034633,0.5266333333333333,100
substitution,52.0,0.3333,Default,2.7325177327720374,0.9882333333333334,100
substitution,52.0,0.3333,DorsAttn,-0.8093311295703445,0.32603333333333334,100
substitution,52.0,0.3333,Limbic,1.8722193024235576,0.9523333333333334,100
substitution,52.0,0.3333,SalVentAttn,-0.12346918934334339,0.5216,100
substitution,52.0,0.3333,SomMot,0.8626180735503565,0.6939333333333333,100
substitution,52.0,0.3333,Vis,1.274086257353491,0.8127333333333334,100
substitution,52.0,0.5,Cont,-0.3181018426476747,0.4892333333333333,100
substitution,52.0,0.5,Default,1.9988928751042203,0.9236,100
substitution,52.0,0.5,DorsAttn,-0.8911484253685218,0.2874333333333333,100
substitution,52.0,0.5,Limbic,1.2948017451291052,0.8330666666666667,100
substitution,52.0,0.5,SalVentAttn,-0.3551952710919345,0.4784333333333333,100
substitution,52.0,0.5,SomMot,0.46832083902282606,0.6257333333333333,100
substitution,52.0,0.5,Vis,0.8123177767565224,0.7004333333333334,100
