scenario,year,network,mechanism,main_contrast,permuted_units_median_ratio,permuted_units_share_as_large,permuted_conditions_median_ratio,permuted_conditions_share_as_large,reading speed 180 wpm change ratio,reading speed 260 wpm change ratio,unwinsorised Z change ratio
free_choice,1,Vis,D,-0.7572374853512787,1.2646732386697062,0.95,1.5906427759554256,0.695,3.629766362337762,3.1268472219801753,0.1373900018424246
free_choice,1,SomMot,D,-3.1848287242958606,1.0929021608109177,0.98,0.46755297547383007,0.135,1.460609403282411,0.7846720129487328,0.03520419833973753
free_choice,1,DorsAttn,D,-9.191505847535982,1.0188738869263605,0.94,0.253147945050188,0.0,0.39645079545319445,0.055733970667925514,0.01155958255654521
free_choice,1,SalVentAttn,D,-7.406742723258413,1.0216860111039727,0.915,0.25651064249917505,0.005,0.4176645748821912,0.2385614990513504,0.02318308322178008
free_choice,1,Limbic,D,1.1912504138477569,0.9236371729023778,0.15,0.6218449791096765,0.25,1.7433122679505153,1.0526661611988157,0.28441514434025017
free_choice,1,Cont,D,-4.928326203338565,1.0426473778729255,0.965,0.29135443771217107,0.03,0.5446718063786856,0.05757382115452085,2.7678688354502455e-05
free_choice,1,Default,D,4.612849366522116,0.9475783016309236,0.0,0.22231091980327264,0.0,0.43812494630271154,0.05371710609888239,0.04252603574658314
free_choice,5,Vis,D,-1.726690801224958,1.1336057156475992,0.92,0.9093395238859191,0.47,2.135456479590951,1.7407759821229363,0.0660107026784968
free_choice,5,SomMot,D,-4.855423461826875,1.075786806367765,0.99,0.4044201243364605,0.09,1.2900757096072268,0.6385742965997864,0.028405280471482722
free_choice,5,DorsAttn,D,-12.644527266994626,1.018766706561283,0.955,0.24572652407686402,0.0,0.36797314790822244,0.05917311551348772,0.011740621808222317
free_choice,5,SalVentAttn,D,-10.364130733905482,1.0204362303922048,0.935,0.25592376929802374,0.0,0.3930642860229362,0.2306026165920725,0.022313677966833714
free_choice,5,Limbic,D,1.31681621236813,0.9061242527853144,0.14,0.7028121214984329,0.315,1.9310698646411824,1.3188039737733868,0.32144747363324955
free_choice,5,Cont,D,-6.850864486912799,1.0418487195664414,0.985,0.27988187784477825,0.01,0.49420981084314225,0.07689017511638728,0.0020917928184525855
free_choice,5,Default,D,5.792071056042315,0.9491185969035894,0.0,0.22489931160408447,0.0,0.45285755241463127,0.048862832296602106,0.042659637221652336
free_choice,10,Vis,D,-1.7066266695886871,1.1053762357440327,0.88,0.8442347696005312,0.45,2.0242982170241994,1.7805614971806747,0.06343211083983476
free_choice,10,SomMot,D,-4.631922239221331,1.0769357668679649,0.99,0.41522547506879337,0.085,1.2862632842913517,0.7076866691552278,0.02924698636571903
free_choice,10,DorsAttn,D,-11.958893324322615,1.0259104949182962,0.98,0.25131097994393936,0.0,0.36085917752921454,0.0737310799507712,0.011065396758322053
free_choice,10,SalVentAttn,D,-9.810377919545363,1.0280514240060046,0.98,0.24796785463025428,0.0,0.3871875053052817,0.25398210742656313,0.021179052478398987
free_choice,10,Limbic,D,1.2606322041408369,0.8786861137075301,0.06,0.6925076984347998,0.315,1.8847736251952643,1.4186412401094357,0.32491215301072085
free_choice,10,Cont,D,-6.433329070176857,1.0530389857151357,1.0,0.28498016012242605,0.015,0.48908404569996655,0.09320491008663401,0.002802027360261419
free_choice,10,Default,D,5.500473455538588,0.9470507972269021,0.005,0.2288093934753805,0.0,0.4428970812943526,0.028707636807132276,0.04189359235105343
scaffolding_nofade,1,Vis,D,-9.933200070858009,0.9815048785279554,0.22,0.30083495732466303,0.025,0.7800302168638426,0.4683893924328817,0.0006377132363978519
scaffolding_nofade,1,SomMot,D,-15.344544751267147,1.0118370402189059,0.735,0.23928024101542444,0.0,0.8542928582847933,0.26280567059010723,0.010088214668118144
scaffolding_nofade,1,DorsAttn,D,-29.796587950430443,0.9966036144763759,0.32,0.20608684282675455,0.0,0.2650243175246154,0.05994297844001147,0.013723583258769446
scaffolding_nofade,1,SalVentAttn,D,-25.7720757135898,0.9985636719553924,0.47,0.20984195421956375,0.0,0.3045615052402232,0.18739505020503264,0.021734548729139536
scaffolding_nofade,1,Limbic,D,0.22020948644427382,1.02539345353998,0.51,7.516959156438434,0.965,14.053787051529355,17.80726318033526,2.590286397297302
scaffolding_nofade,1,Cont,D,-16.980736881985404,1.0016300570159442,0.575,0.210009168461897,0.0,0.30298257718486676,0.13189566124022045,0.007448250827937146
scaffolding_nofade,1,Default,D,8.640237230556396,0.9908053398387426,0.335,0.2925824689785097,0.0,0.5289771864384467,0.03527767422695872,0.04631461557021783
scaffolding_nofade,5,Vis,D,-15.032824470722979,0.9816647036023864,0.165,0.30475385413066586,0.02,0.7750938749089405,0.4790037910847727,0.0005097555225518097
scaffolding_nofade,5,SomMot,D,-23.256763402145893,1.010675762218286,0.735,0.2415888698949338,0.0,0.8548315529302647,0.27395152810468115,0.009994812928120345
scaffolding_nofade,5,DorsAttn,D,-45.00698456817707,0.9972900433536358,0.305,0.20642462043403048,0.0,0.2637900950484809,0.0636919738657492,0.01361275121734508
scaffolding_nofade,5,SalVentAttn,D,-38.93906360244449,0.9987946537721873,0.46,0.21002180851484903,0.0,0.30401781943625267,0.19271382217943972,0.021574225462979813
scaffolding_nofade,5,Limbic,D,0.3228859070323127,1.028535862010552,0.515,7.727370602255249,0.965,14.494323501890946,18.757026343700282,2.6507876594042052
scaffolding_nofade,5,Cont,D,-25.662777320537263,1.0020404304496133,0.6,0.21149464490420275,0.0,0.302680845193687,0.13684525711938553,0.007293864750082817
scaffolding_nofade,5,Default,D,13.01920929426083,0.9923501034121336,0.35,0.2921956400456466,0.0,0.5309664369571571,0.025037001449079565,0.04615970160250453
scaffolding_nofade,10,Vis,D,-14.042696719793415,0.9814567396437048,0.12,0.2976679967667687,0.015,0.7609979128593226,0.5037175664181658,0.00029582292050233115
scaffolding_nofade,10,SomMot,D,-21.62230399748194,1.0116754918235058,0.81,0.23831337778120304,0.0,0.8535590623390006,0.30233936618380963,0.009664947052560359
scaffolding_nofade,10,DorsAttn,D,-41.65709520467215,1.0001207374866254,0.505,0.20833633312402627,0.0,0.2599158415230738,0.07259178190990126,0.013546660327592854
scaffolding_nofade,10,SalVentAttn,D,-36.038606167921024,1.002703102946796,0.665,0.210126422077275,0.0,0.3010490091605248,0.20585518817834114,0.021535759824437624
scaffolding_nofade,10,Limbic,D,0.2804808098581107,0.9832577426238729,0.49,7.994908859051959,0.97,15.230434057018888,21.108469746644744,2.7626469544790306
scaffolding_nofade,10,Cont,D,-23.746582655132134,1.0057279721675854,0.765,0.2101509201742004,0.0,0.2997250734046435,0.1485322187687556,0.007047240378455415
scaffolding_nofade,10,Default,D,12.026057357830178,0.9918839969227649,0.285,0.2987691454302289,0.005,0.5280516399097208,0.0012833996229037077,0.045656377057268216
scaffolding_rapid,1,Vis,D,-9.850943673285727,0.9773429194463084,0.14,0.3074155450859136,0.03,0.7801463795521144,0.47101296490784544,0.0009263065636049327
scaffolding_rapid,1,SomMot,D,-15.24291140184087,1.0081340960535874,0.67,0.24070158784165763,0.0,0.8535169526881817,0.2667022070220612,0.01024774426178032
scaffolding_rapid,1,DorsAttn,D,-29.58979816223365,0.9954860597225236,0.255,0.20556881040951738,0.0,0.2652606114989078,0.06052139809549339,0.013652182026052782
