level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr,ci_excludes_0,wpm
network,Cont,auc,S-T,-2.1048428986180787,0.3927634560217647,-2.855595871443516,-1.300287949509316,30,8.36561041354054e-08,1.9519757631594596e-07,True,220
network,Cont,auc,U-T,0.15452136226118596,0.37415519689980486,-0.5454351609596603,0.9540194943770304,30,0.6796158838380738,0.6796158838380738,False,220
network,Cont,auc,S-U,-2.2593642608792646,0.29490025015671506,-2.8238705223014686,-1.6769604698636893,30,1.8384186363825256e-14,2.5737860909355357e-14,True,220
network,Cont,mean,S-T,-0.012721801317126585,0.0022745551149820965,-0.01716489220438546,-0.00804923122473096,30,2.2305802121128393e-08,5.204687161596625e-08,True,220
network,Cont,mean,U-T,-0.0009153097316150696,0.0020443844549120046,-0.00472986834437475,0.003402985611880103,30,0.6543560189058294,0.7634153553901343,False,220
network,Cont,mean,S-U,-0.011806491585511515,0.0016078269031300516,-0.01494504172194229,-0.00861378988738128,30,2.086463486760699e-13,2.9210488814649787e-13,True,220
network,Cont,peak,S-T,-0.005892155259599536,0.004518015799825644,-0.014832162644898082,0.00286091188506939,30,0.19218357907049055,0.5010132806773454,False,220
network,Cont,peak,U-T,0.007966742703317313,0.004762404061997212,-0.0016483742903498685,0.017113152159009635,30,0.09435868674460432,0.1100851345353717,False,220
network,Cont,peak,S-U,-0.013858897962916849,0.004016400650767203,-0.021843517955203718,-0.006291662767368053,30,0.0005593904694845822,0.000783146657278415,True,220
network,Cont,sustained,S-T,-0.017091518575747942,0.00639610015968039,-0.029662418062179733,-0.004447536448923672,30,0.007536064615546619,0.010550490461765266,True,220
network,Cont,sustained,U-T,-0.026780960706505267,0.00651773105583152,-0.03939070946211499,-0.014114812714815964,30,3.974806748042559e-05,0.00027823647236297915,True,220
network,Cont,sustained,S-U,0.009689442130757325,0.006036440625324259,-0.0022484606734608325,0.021229162064851634,30,0.10845899519498628,0.1518425932729808,False,220
network,Cont,time_to_peak,S-T,-12.7,9.078941694920234,-31.569166666666664,4.666666666666671,30,0.16186053225381236,0.2832559314441716,False,220
network,Cont,time_to_peak,U-T,9.133333333333335,8.375232961733303,-7.335833333333331,25.56833333333334,30,0.27548549997324834,0.34294948166809,False,220
network,Cont,time_to_peak,S-U,-21.833333333333336,8.06401805038231,-37.766666666666666,-6.364166666666683,30,0.006779195776904913,0.015818123479444796,True,220
network,Default,auc,S-T,1.089911593755369,0.32104502697501597,0.46285418184442745,1.7254894770933606,30,0.0006865692715924309,0.0011661030575925372,True,220
network,Default,auc,U-T,0.9560892017309045,0.33582282880947956,0.3216195762149254,1.6627788047455652,30,0.004413269851824822,0.015446444481386875,True,220
network,Default,auc,S-U,0.13382239202446444,0.24209246355843875,-0.3408651928988208,0.6212226599122159,30,0.580418251792291,0.580418251792291,False,220
network,Default,mean,S-T,0.00678122115235964,0.0018528474663975654,0.0030600609626142876,0.01031611325032383,30,0.000252321820715651,0.00044156318625238923,True,220
network,Default,mean,U-T,0.004344058460314789,0.001846051321451114,0.000815253120961041,0.00822267653432733,30,0.018614504997367717,0.065150767490787,True,220
network,Default,mean,S-U,0.0024371626920448508,0.001462494707681679,-0.0004885028759716095,0.005338004327447407,30,0.09562539955299844,0.11156296614516485,False,220
network,Default,peak,S-T,-0.004500013137676053,0.0055031410127951656,-0.01587951092850487,0.005673481929425725,30,0.41351867876355874,0.5010132806773454,False,220
network,Default,peak,U-T,0.031078202845313884,0.006171678971366798,0.01906825935543314,0.04282969400452767,30,4.7631559302390927e-07,1.6671045755836824e-06,True,220
network,Default,peak,S-U,-0.035578215982989936,0.005663034551734247,-0.046539023716189,-0.02489910088214445,30,3.3309503401748203e-10,1.1658326190611872e-09,True,220
network,Default,sustained,S-T,0.04386109071980771,0.009027857876559547,0.024824575089975192,0.06034033882308941,30,1.183284866205926e-06,2.07074851586037e-06,True,220
network,Default,sustained,U-T,-0.007691665217687315,0.00941597089878898,-0.027348808552585105,0.010386864432120895,30,0.41400023078787906,0.7245004038787883,False,220
network,Default,sustained,S-U,0.051552755937495025,0.007915023134387014,0.03593602535611926,0.06743215298445068,30,7.352763315800433e-11,1.286733580265076e-10,True,220
network,Default,time_to_peak,S-T,3.3333333333333535,8.822850877987044,-13.767500000000002,21.103333333333346,30,0.705574098562469,0.705574098562469,False,220
network,Default,time_to_peak,U-T,39.80000000000001,9.952174843978474,20.56583333333334,58.87083333333333,30,6.357685998135787e-05,0.00022251900993475255,True,220
network,Default,time_to_peak,S-U,-36.466666666666654,8.60541554484506,-53.73500000000001,-19.265000000000008,30,2.2587998802956964e-05,7.905799581034937e-05,True,220
network,DorsAttn,auc,S-T,-3.3695247620005615,0.39168057976257925,-4.15291683112397,-2.6002960212403132,30,7.78376409363387e-18,5.4486348655437095e-17,True,220
network,DorsAttn,auc,U-T,0.16861786099809284,0.3424372813412755,-0.4933660786590265,0.8177226071656286,30,0.6224330003701914,0.6796158838380738,False,220
network,DorsAttn,auc,S-U,-3.538142622998654,0.3275958871402164,-4.190459953627061,-2.921378377654043,30,3.429808251104692e-27,2.4008657757732846e-26,True,220
network,DorsAttn,mean,S-T,-0.02026866714698658,0.002301418694751796,-0.024980661273106258,-0.01578356205851306,30,1.2850348640316142e-18,8.9952440482213e-18,True,220
network,DorsAttn,mean,U-T,0.00041792215667573325,0.002024806874540687,-0.0035416292119399163,0.00426232518121531,30,0.8364776924765214,0.8364776924765215,False,220
network,DorsAttn,mean,S-U,-0.020686589303662312,0.0018776241414476358,-0.0243996310722004,-0.017075698125951784,30,3.1492829115277046e-28,2.2044980380693932e-27,True,220
network,DorsAttn,peak,S-T,-0.009436753502898633,0.01079122982177953,-0.032349027968305175,0.01163515865713184,30,0.3818549475884214,0.5010132806773454,False,220
network,DorsAttn,peak,U-T,0.013632180047145934,0.009447096041378007,-0.004487661397714577,0.032222244007140695,30,0.1490198611597136,0.1490198611597136,False,220
network,DorsAttn,peak,S-U,-0.023068933550044565,0.008536978066483732,-0.041624926903758255,-0.008226761912795429,30,0.006887475696471626,0.00803538831255023,True,220
network,DorsAttn,sustained,S-T,-0.0752886305385517,0.008341073123912987,-0.09233407597461055,-0.05971705843022675,30,1.7765165386569426e-19,1.2435615770598598e-18,True,220
network,DorsAttn,sustained,U-T,-0.005062025750358922,0.010881208386415011,-0.02790492407133735,0.014708397619789898,30,0.6417824734833697,0.8984954628767176,False,220
network,DorsAttn,sustained,S-U,-0.07022660478819277,0.007718628038981379,-0.08575512126549055,-0.05503592181706478,30,9.173362532325641e-20,3.2106768863139747e-19,True,220
network,DorsAttn,time_to_peak,S-T,-12.333333333333341,7.293564506806038,-26.96666666666668,1.1008333333333267,30,0.09083900879626576,0.2119576871912868,False,220
network,DorsAttn,time_to_peak,U-T,-6.8000000000000025,6.479391847698725,-19.53333333333334,5.4008333333333285,30,0.2939566985726485,0.34294948166809,False,220
