scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive
substitution,far,5,-0.1157239775743898,-0.1166361401036094,500,-0.14099053028711964,-0.08572802173494772,-0.14441812622641678,-0.08209119627848391,0.0,0.0
substitution,far,10,-0.13150984186153505,-0.13402556535297908,500,-0.152071746306603,-0.10245844865538184,-0.15594533068246527,-0.09577789757062032,0.0,0.0
substitution,p_request,1,0.07519711154131675,0.07356518670017473,500,0.052375563665862955,0.10251120921584532,0.050381251675544414,0.10900210238560194,0.9999790000000001,1.0
substitution,p_request,5,0.1226218352813162,0.12371168579749112,500,0.07999159601440098,0.1624699952277066,0.07381521638673248,0.17020117621960013,1.0,1.0
substitution,p_request,10,0.1525799414197165,0.15676167044264883,500,0.10233664564396677,0.18652773130714898,0.08927313773501594,0.1926222577750739,1.0,1.0
substitution,retention,1,-0.06404403737125502,-0.06272376703805893,500,-0.08567021424747782,-0.04596151864956178,-0.08962112278076581,-0.044318772474688295,0.0,0.0
substitution,retention,5,-0.10541049211874054,-0.10577194945177729,500,-0.13900297938491896,-0.07065122853787854,-0.14334139944227603,-0.0658103099164836,0.0,0.0
substitution,retention,10,-0.13699765544369996,-0.140454315862035,500,-0.16781198845158166,-0.09306293147626354,-0.17147131665518994,-0.08471854817904631,0.0,0.0
substitution,unaided,1,-0.07656397558009038,-0.07351774994974627,500,-0.10974489934060451,-0.050595546879298334,-0.11801190696801676,-0.04811219912757067,0.0,0.0
substitution,unaided,5,-0.12594705330472158,-0.12502663189476593,500,-0.17868872537466451,-0.0768279534736431,-0.18698650640243655,-0.0700696346475785,0.0,0.0
substitution,unaided,10,-0.16932888948575092,-0.17504572844775396,500,-0.21323671893342436,-0.10468603178415271,-0.21728269819620602,-0.09374826113652958,0.0,0.0
