line,draw_id,tipping_point
e,0,
e,1,
e,2,
e,3,
e,4,
e,5,
e,6,
e,7,
e,8,
e,9,
e,10,
e,11,
e,12,
e,13,
e,14,
e,15,
e,16,
e,17,
e,18,
e,19,
e,20,
e,21,
e,22,
e,23,
e,24,
e,25,
e,26,
e,27,
e,28,
e,29,
e,30,
e,31,
e,32,
e,33,
e,34,
e,35,
e,36,
e,37,
e,38,
e,39,
e,40,
e,41,
e,42,
e,43,
e,44,
e,45,
e,46,
e,47,
e,48,
e,49,
e,50,
e,51,
e,52,
e,53,
e,54,
e,55,
e,56,
e,57,
e,58,
e,59,
e,60,
e,61,
e,62,
e,63,
e,64,
e,65,
e,66,
e,67,
e,68,
e,69,
e,70,
e,71,
e,72,
e,73,
e,74,
e,75,
e,76,
e,77,
e,78,
e,79,
e,80,
e,81,
e,82,
e,83,
e,84,
e,85,
e,86,
e,87,
e,88,
e,89,
e,90,
e,91,
e,92,
e,93,
e,94,
e,95,
e,96,
e,97,
e,98,
e,99,
e,100,
e,101,
e,102,
e,103,
e,104,
e,105,
e,106,
e,107,
e,108,
e,109,
e,110,
e,111,
e,112,
e,113,
e,114,
e,115,
e,116,
e,117,
e,118,
e,119,
e,120,
e,121,
e,122,
e,123,
e,124,
e,125,
e,126,
e,127,
e,128,
e,129,
e,130,
e,131,
e,132,
e,133,
e,134,
e,135,
e,136,
e,137,
e,138,
e,139,
e,140,
e,141,
e,142,
e,143,
e,144,
e,145,
e,146,
e,147,
e,148,
e,149,
e,150,
e,151,
e,152,
e,153,
e,154,
e,155,
e,156,
e,157,
e,158,
e,159,
e,160,
e,161,
e,162,
e,163,
e,164,
e,165,
e,166,
e,167,
e,168,
e,169,
e,170,
e,171,
e,172,
e,173,
e,174,
e,175,
e,176,
e,177,
e,178,
e,179,
e,180,
e,181,
e,182,
e,183,
e,184,
e,185,
e,186,
e,187,
e,188,
e,189,
e,190,
e,191,
e,192,
e,193,
e,194,
e,195,
e,196,
e,197,
e,198,
e,199,
f,0,
f,1,
f,2,
f,3,
f,4,
f,5,
f,6,
f,7,
f,8,
f,9,
f,10,
f,11,
f,12,
f,13,
f,14,
f,15,
f,16,
f,17,
f,18,
f,19,
f,20,
f,21,
f,22,
f,23,
f,24,
f,25,
f,26,
f,27,
f,28,
f,29,
f,30,
f,31,
f,32,
f,33,
f,34,
f,35,
f,36,
f,37,
f,38,
f,39,
f,40,
f,41,
f,42,
f,43,
f,44,
f,45,
f,46,
f,47,
f,48,
f,49,
f,50,
f,51,
f,52,
f,53,
f,54,
f,55,
f,56,
f,57,
f,58,
f,59,
f,60,
f,61,
f,62,
f,63,
f,64,
f,65,
f,66,
f,67,
f,68,
f,69,
f,70,
f,71,
f,72,
f,73,
f,74,
f,75,
f,76,
f,77,
f,78,
f,79,
f,80,
f,81,
f,82,
f,83,
f,84,
f,85,
f,86,
f,87,
f,88,
f,89,
f,90,
f,91,
f,92,
f,93,
f,94,
f,95,
f,96,
f,97,
f,98,
f,99,
f,100,
f,101,
f,102,
f,103,
f,104,
f,105,
f,106,
f,107,
f,108,
f,109,
f,110,
f,111,
f,112,
f,113,
f,114,
f,115,
f,116,
f,117,
f,118,
f,119,
f,120,
f,121,
f,122,
f,123,
f,124,
f,125,
f,126,
f,127,
f,128,
f,129,
f,130,
f,131,
f,132,
f,133,
f,134,
f,135,
f,136,
f,137,
f,138,
f,139,
f,140,
f,141,
f,142,
f,143,
f,144,
f,145,
f,146,
f,147,
f,148,
f,149,
f,150,
f,151,
f,152,
f,153,
f,154,
f,155,
f,156,
f,157,
f,158,
f,159,
f,160,
f,161,
f,162,
f,163,
f,164,
f,165,
f,166,
f,167,
f,168,
f,169,
f,170,
f,171,
f,172,
f,173,
f,174,
f,175,
f,176,
f,177,
f,178,
f,179,
f,180,
f,181,
f,182,
f,183,
f,184,
f,185,
f,186,
f,187,
f,188,
f,189,
f,190,
f,191,
f,192,
f,193,
f,194,
f,195,
f,196,
f,197,
f,198,
f,199,
forget,0,
forget,1,
forget,2,
forget,3,
forget,4,
forget,5,
forget,6,
forget,7,
forget,8,
forget,9,
forget,10,
forget,11,
forget,12,
forget,13,
forget,14,
forget,15,
forget,16,
forget,17,
forget,18,
forget,19,
forget,20,
forget,21,
forget,22,
forget,23,
forget,24,
forget,25,
forget,26,
forget,27,
forget,28,
forget,29,
forget,30,
forget,31,
forget,32,
forget,33,
forget,34,
forget,35,
forget,36,
forget,37,
forget,38,
forget,39,
forget,40,
forget,41,
forget,42,
forget,43,
forget,44,
forget,45,
forget,46,
forget,47,
forget,48,
forget,49,
forget,50,
forget,51,
forget,52,
forget,53,
forget,54,
forget,55,
forget,56,
forget,57,
forget,58,
forget,59,
forget,60,
forget,61,
forget,62,
forget,63,
forget,64,
forget,65,
forget,66,
forget,67,
forget,68,
forget,69,
forget,70,
forget,71,
forget,72,
forget,73,
forget,74,
forget,75,
forget,76,
forget,77,
forget,78,
forget,79,
forget,80,
forget,81,
forget,82,
forget,83,
forget,84,
forget,85,
forget,86,
forget,87,
forget,88,
forget,89,
forget,90,
forget,91,
forget,92,
forget,93,
forget,94,
forget,95,
forget,96,
forget,97,
forget,98,
forget,99,
forget,100,
forget,101,
forget,102,
forget,103,
forget,104,
forget,105,
forget,106,
forget,107,
forget,108,
forget,109,
forget,110,
forget,111,
forget,112,
forget,113,
forget,114,
forget,115,
forget,116,
forget,117,
forget,118,
forget,119,
forget,120,
forget,121,
forget,122,
forget,123,
forget,124,
forget,125,
forget,126,
forget,127,
forget,128,
forget,129,
forget,130,
forget,131,
forget,132,
forget,133,
forget,134,
forget,135,
forget,136,
forget,137,
forget,138,
forget,139,
forget,140,
forget,141,
forget,142,
forget,143,
forget,144,
forget,145,
forget,146,
forget,147,
forget,148,
forget,149,
forget,150,
forget,151,
forget,152,
forget,153,
forget,154,
forget,155,
forget,156,
forget,157,
forget,158,
forget,159,
forget,160,
forget,161,
forget,162,
forget,163,
forget,164,
forget,165,
forget,166,
forget,167,
forget,168,
forget,169,
forget,170,
forget,171,
forget,172,
forget,173,
forget,174,
forget,175,
forget,176,
forget,177,
forget,178,
forget,179,
forget,180,
forget,181,
forget,182,
forget,183,
forget,184,
forget,185,
forget,186,
forget,187,
forget,188,
forget,189,
forget,190,
forget,191,
forget,192,
forget,193,
forget,194,
forget,195,
forget,196,
forget,197,
forget,198,
forget,199,
o,0,0.0953135363385748
o,1,0.13405771122676371
o,2,0.11432620092947204
o,3,0.11538754427495486
o,4,0.12329349421890662
o,5,0.11523893267188688
o,6,0.07635649414090685
o,7,0.10369839197062002
o,8,0.07896800091722872
o,9,0.07081424676221802
o,10,0.1095129890445589
o,11,0.12074926517583048
o,12,0.07885740424171657
o,13,0.0705299208511753
o,14,0.11052266760277246
o,15,0.12419960323007702
o,16,0.07706740640262252
o,17,0.08588656029778363
o,18,0.12427712182765879
o,19,0.12018088189351192
o,20,0.07645844269195305
o,21,0.07492735312057876
o,22,0.10555239197668373
o,23,0.08566684635975653
o,24,0.0788844552180726
o,25,0.08195467814549526
o,26,0.05268893606147685
o,27,0.09193748355332208
o,28,0.13706193537166975
o,29,0.08620250206844374
o,30,0.08879334377349261
o,31,0.07630707937663539
o,32,0.14845856728605666
o,33,0.07744022019679574
o,34,0.11959373972175172
o,35,0.09698809101948251
o,36,0.08154985889041413
o,37,0.13151790766611474
o,38,0.08830374766111598
o,39,0.15820720392576001
o,40,0.08582036292095155
o,41,0.11369324082572746
o,42,0.09810844065837833
o,43,0.07196749662579746
o,44,0.14461844152142247
o,45,0.07969661846628288
o,46,0.12661973265985915
o,47,0.08895958651355935
o,48,0.13633758232654342
o,49,0.11308012750200708
o,50,0.0744222688514445
o,51,0.11071000429440227
o,52,0.07445945796606483
o,53,0.09020700053037109
o,54,0.07364083134369902
o,55,0.10590635939492604
o,56,0.05773098564915781
o,57,0.10302043551704228
o,58,0.11117812739101879
o,59,0.10312593175478646
o,60,0.12046052500330104
o,61,0.08881370981443822
o,62,0.12197524197688143
o,63,0.056657132939129856
o,64,0.07094424397620186
o,65,0.09848187511173245
o,66,0.09830486168193406
o,67,0.12469942667559863
o,68,0.08206482103872142
o,69,0.10957100756311873
o,70,0.056926213868693155
o,71,0.12861872814577668
o,72,0.10321435455487457
o,73,0.10298829146312805
o,74,0.12908991457907906
o,75,0.09507045212052909
o,76,0.08060812222331609
o,77,0.06453251439165583
o,78,0.11945568623515873
o,79,0.08000876679434027
o,80,0.10003997526955269
o,81,0.10424540776647234
o,82,0.10014957614420887
o,83,0.09919875265741444
o,84,0.1297735883475372
o,85,0.11102819455951414
o,86,0.06833213044843282
o,87,0.09519835294525658
o,88,0.0757597666857821
o,89,0.13318851227517103
o,90,0.10276093454055155
o,91,0.17504357753042044
o,92,0.10321872401158892
o,93,0.08706712794231293
o,94,0.11468292707440128
o,95,0.049751954585337835
o,96,0.0767815475658676
o,97,0.10579878869192737
o,98,0.07117206366455164
o,99,0.07848781191789662
o,100,0.0923392663128067
o,101,0.08343834300932644
o,102,0.09514824614178814
o,103,0.08361208412791135
o,104,0.12446756444136282
o,105,0.061029168660276654
o,106,0.10285165632353498
o,107,0.07930182764058144
o,108,0.07657872576047405
o,109,0.08407608185254688
o,110,0.1711600983407845
o,111,0.09998781002090434
o,112,0.09267823206107137
o,113,0.11083818086649337
o,114,0.08282437879542942
o,115,0.08517735407842432
o,116,0.07030743866624314
o,117,0.09162511531176862
o,118,0.0729937735900738
o,119,0.11597192923673097
o,120,0.12702382457905462
o,121,0.12047351251921382
o,122,0.0698733644009201
o,123,0.07345660411451661
o,124,0.08640613657435481
o,125,0.10679725547438429
o,126,0.06372717008934796
o,127,0.07293608584531584
o,128,0.11883131999429668
o,129,0.08194977216912813
o,130,0.14205731758596235
o,131,0.10749220467394568
o,132,0.10922693595492154
o,133,0.11698956007977482
o,134,0.0967483858634247
o,135,0.1381078984780275
o,136,0.10019978299754113
o,137,0.11530653272608718
o,138,0.08573798131628624
o,139,0.059380976685582273
o,140,0.0763160001540458
o,141,0.06273512348921503
o,142,0.09182971144314339
o,143,0.10107284615183354
o,144,0.12228854925338331
o,145,0.11128392258037387
o,146,0.10479791499863433
o,147,0.09848353899382255
o,148,0.0956131609296989
o,149,0.10275345108604621
o,150,0.11000464336461983
o,151,0.11392394401969051
o,152,0.07785877084438086
o,153,0.09787416871380114
o,154,0.07745780804625574
o,155,0.09956483482688017
o,156,0.11263051608487583
o,157,0.09182416897434756
o,158,0.0797191240530294
o,159,0.11167433976533318
o,160,0.08472748846009728
o,161,0.08305486032558151
o,162,0.12237060610541017
o,163,0.08946793418375074
o,164,0.12532616698446775
o,165,0.06931786365145119
o,166,0.11987786839609889
o,167,0.08778069791560943
o,168,0.06743627287701734
o,169,0.10481923407671957
o,170,0.10818202459966217
o,171,0.10281181979582298
o,172,0.07804614994271221
o,173,0.09749929194552717
o,174,0.0680186313148746
o,175,0.11044809988489794
o,176,0.11597889645158774
o,177,0.12646149493646414
o,178,0.1095143544359636
o,179,0.11140462338477645
o,180,0.06480052176541459
o,181,0.09100144552324403
o,182,0.09110912738133983
o,183,0.12122307059785918
o,184,0.07284562826638666
o,185,0.0579353017517646
o,186,0.13206444762599323
o,187,0.10333753168488241
o,188,0.06861049621484629
o,189,0.08746381200779467
o,190,0.08893407240405805
o,191,0.08325956021729247
o,192,0.09278390444396885
o,193,0.09793692464161488
o,194,0.07687083681112461
o,195,0.0753031750995251
o,196,0.06084847023553347
o,197,0.14412021775623574
o,198,0.14073362917124815
o,199,0.08590817059946626
