control,key,metric,abs_change,max_abs_condition_contrast,ratio_shuffle_to_contrast
sentence,Cont,auc,1.7664501181125918,2.2593642608792646,0.7818350270908295
sentence,Cont,mean,0.011040234320496983,0.012721801317126585,0.8678200551390618
sentence,Cont,peak,0.02733867825655864,0.013858897962916849,1.9726444577130529
sentence,Cont,sustained,0.06294581983287441,0.026780960706505267,2.3503943911013043
sentence,Cont,time_to_peak,38.611111111111114,21.833333333333336,1.768447837150127
sentence,Default,auc,1.5388502090690042,1.089911593755369,1.4119036974061216
sentence,Default,mean,0.009502237234614214,0.00678122115235964,1.4012575347594658
sentence,Default,peak,0.04056433261258558,0.035578215982989936,1.1401452122270415
sentence,Default,sustained,0.0510664752437607,0.051552755937495025,0.990567319149263
sentence,Default,time_to_peak,53.577777777777776,39.80000000000001,1.3461753210496925
sentence,DorsAttn,auc,1.742506936132921,3.538142622998654,0.4924919998437225
sentence,DorsAttn,mean,0.010844262769700585,0.020686589303662312,0.5242170476010145
sentence,DorsAttn,peak,0.04959258750253765,0.023068933550044565,2.149756398359466
sentence,DorsAttn,sustained,0.04362248893133095,0.0752886305385517,0.5794034055247421
sentence,DorsAttn,time_to_peak,47.166666666666664,12.333333333333341,3.824324324324322
sentence,Limbic,auc,0.9484056133543977,0.2068642164991482,4.584676989595747
sentence,Limbic,mean,0.005897663651550314,0.0009577503466973286,6.1578298268307625
sentence,Limbic,peak,0.014781364070308712,0.012319080076862188,1.199875638284973
sentence,Limbic,sustained,0.0857482425199394,0.08824037727490287,0.9717574331397121
sentence,Limbic,time_to_peak,34.111111111111114,6.400000000000003,5.329861111111109
sentence,SalVentAttn,auc,1.38771504080086,2.6123962300950776,0.5312038904413648
sentence,SalVentAttn,mean,0.008634624140998866,0.014957116114226763,0.577292044472789
sentence,SalVentAttn,peak,0.02877484808275502,0.026430329164915306,1.0887056269035016
sentence,SalVentAttn,sustained,0.04694931247746752,0.06251291398372631,0.7510338182233771
sentence,SalVentAttn,time_to_peak,51.28888888888889,28.43333333333334,1.8038296209456814
sentence,SomMot,auc,1.351711125686991,1.496503759123162,0.9032460609915149
sentence,SomMot,mean,0.008369010400553325,0.008343904861333226,1.0030088477322459
sentence,SomMot,peak,0.03280581371102035,0.029454886795732882,1.113764718857209
sentence,SomMot,sustained,0.05312353078283976,0.010662893464544253,4.982093365134295
sentence,SomMot,time_to_peak,63.43333333333333,70.50000000000003,0.8997635933806143
sentence,Vis,auc,1.5979036445910648,1.9666396190910262,0.8125045529844508
sentence,Vis,mean,0.009856415574523792,0.01209458957474497,0.814944195800181
sentence,Vis,peak,0.046519884292950814,0.021142967296416636,2.2002533343952684
sentence,Vis,sustained,0.04466656747482128,0.02515495072780759,1.7756571244420896
sentence,Vis,time_to_peak,51.3,26.66666666666668,1.923749999999999
word,Cont,auc,14.250685430075935,2.2593642608792646,6.307387293330945
word,Cont,mean,0.0878383301446181,0.012721801317126585,6.90455132531953
word,Cont,peak,0.025888284782591874,0.013858897962916849,1.8679901426406944
word,Cont,sustained,0.13232677366264403,0.026780960706505267,4.941076427870678
word,Cont,time_to_peak,48.166666666666664,21.833333333333336,2.206106870229007
word,Default,auc,8.467239510378125,1.089911593755369,7.768739738976113
word,Default,mean,0.05197994548097359,0.00678122115235964,7.665278024871124
word,Default,peak,0.035074293193854515,0.035578215982989936,0.9858361984935853
word,Default,sustained,0.10238141810971751,0.051552755937495025,1.9859543151068304
word,Default,time_to_peak,57.422222222222224,39.80000000000001,1.4427694025683973
word,DorsAttn,auc,23.98889311455239,3.538142622998654,6.7800808702904325
word,DorsAttn,mean,0.1482672651054992,0.020686589303662312,7.167313225445543
word,DorsAttn,peak,0.06210313909674247,0.023068933550044565,2.6920680560295125
word,DorsAttn,sustained,0.3202803150440506,0.0752886305385517,4.254032949637069
word,DorsAttn,time_to_peak,42.333333333333336,12.333333333333341,3.4324324324324307
word,Limbic,auc,1.4647546064927484,0.2068642164991482,7.080753893937861
word,Limbic,mean,0.009163572510035634,0.0009577503466973286,9.567809128584463
word,Limbic,peak,0.029664523061856247,0.012319080076862188,2.408014468350801
word,Limbic,sustained,0.244713725151867,0.08824037727490287,2.7732624531906658
word,Limbic,time_to_peak,52.166666666666664,6.400000000000003,8.151041666666663
word,SalVentAttn,auc,20.171643218137742,2.6123962300950776,7.72150984822222
word,SalVentAttn,mean,0.12469054872117366,0.014957116114226763,8.336536787500883
word,SalVentAttn,peak,0.0645531797883549,0.026430329164915306,2.4423903079514204
word,SalVentAttn,sustained,0.2736454271565721,0.06251291398372631,4.377422355128236
word,SalVentAttn,time_to_peak,39.544444444444444,28.43333333333334,1.3907776475185616
word,SomMot,auc,6.540935988836692,1.496503759123162,4.370811599343516
word,SomMot,mean,0.04026564000464375,0.008343904861333226,4.825754928156015
word,SomMot,peak,0.021639454769561514,0.029454886795732882,0.7346643332778455
word,SomMot,sustained,0.30170128523021406,0.010662893464544253,28.294504323185524
word,SomMot,time_to_peak,68.58888888888889,70.50000000000003,0.972892040977147
word,Vis,auc,15.17876096949318,1.9666396190910262,7.71812019962699
word,Vis,mean,0.09324063654818175,0.01209458957474497,7.709284880809844
word,Vis,peak,0.0396060219976474,0.021142967296416636,1.8732480376280924
word,Vis,sustained,0.09750514547879606,0.02515495072780759,3.876181135628654
word,Vis,time_to_peak,51.977777777777774,26.66666666666668,1.9491666666666656
