tag,form,forgetting,epw,effort,outcome_weights,scenario,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,equal,free_choice,1,-0.03435682189194071,-0.034421986404490686,50,-0.049600541324877505,-0.014820900717567665,-0.05219122160355344,-0.013577394906908262
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,equal,scaffolding_nofade,1,0.016857043699869387,0.014889375902694993,50,0.007294634332607836,0.02926273286288721,0.00647053409468056,0.030694762895339824
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,equal,scaffolding_rapid,1,0.04623285677117159,0.046065441361129555,50,0.028856256412533275,0.06331444131050648,0.02780879605587156,0.0642198381136388
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,equal,substitution,1,-0.19282535629178899,-0.19913857133506152,50,-0.23250771173412638,-0.14028843330854093,-0.2387913727770125,-0.12482121623063545
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,learning_first,free_choice,2,-0.032507167128204624,-0.03210003972012732,50,-0.04742207806516994,-0.013513071133575149,-0.04987749494093714,-0.012714300848659689
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,learning_first,scaffolding_nofade,2,0.01819953861052671,0.01667211335453094,50,0.008408164168774653,0.03183643973880216,0.0076064446364163965,0.03232560396482833
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,learning_first,scaffolding_rapid,2,0.04180631809137113,0.04136354182894456,50,0.026431827082489416,0.058717722563821656,0.02400049765990828,0.06034750288605186
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,learning_first,substitution,2,-0.18870069074009865,-0.19503205904437626,50,-0.2312433784134567,-0.1403561237839886,-0.23469743403816778,-0.12212639537893663
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,autonomy_first,free_choice,2,-0.039268362294126724,-0.04037288915084961,50,-0.0549594320302697,-0.018049899244702444,-0.057116108923768553,-0.016310533397026927
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,autonomy_first,scaffolding_nofade,2,0.020037060586402616,0.017574085489462845,50,0.008458549436582183,0.03348878227401861,0.007436039384912676,0.03639415598866048
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,autonomy_first,scaffolding_rapid,2,0.06742270248261216,0.06747214490858458,50,0.044163612455751435,0.08721307130923836,0.04388670655413272,0.0881679437450748
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,autonomy_first,substitution,2,-0.22115126571622848,-0.2283896478617915,50,-0.26443880011854637,-0.16286322691095076,-0.2699725835627875,-0.14692236969404357
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,equal,free_choice,2,-0.032475760828480145,-0.03245938899183389,50,-0.04759827666192077,-0.016468858151326076,-0.052800209062391606,-0.015346207768078579
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,equal,scaffolding_nofade,2,0.01812818406883949,0.018092986676140118,50,0.008670696400967898,0.030801566027865813,0.006575677422806494,0.033374997172029214
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,equal,scaffolding_rapid,2,0.04738103086613995,0.04886351843201545,50,0.0299336884491603,0.060803012255328553,0.025352538578380487,0.061545352310443835
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,equal,substitution,2,-0.17778251257336733,-0.18136735126030187,50,-0.20408117441368212,-0.14687277415782532,-0.20760511369816392,-0.1332060663016677
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,learning_first,free_choice,2,-0.03029165990552939,-0.030603422061232725,50,-0.04503434752891233,-0.015440448967455644,-0.051295590002253824,-0.014104564217196306
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,learning_first,scaffolding_nofade,2,0.019431714138281184,0.019326576976705513,50,0.010021786324236516,0.03201184391495662,0.007658856700933308,0.03499505246463319
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,learning_first,scaffolding_rapid,2,0.04333215207933132,0.04451791014974214,50,0.028072632313005216,0.05622238117288188,0.023412126470488515,0.057079429038921006
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,learning_first,substitution,2,-0.171794236636839,-0.17549741227678337,50,-0.19893537035791126,-0.14247344371474543,-0.20316564416139718,-0.12688785152712326
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,autonomy_first,free_choice,2,-0.036670686168766585,-0.03716028479993466,50,-0.05080309616553927,-0.019409859097012473,-0.052090989436838674,-0.018337316264086457
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,autonomy_first,scaffolding_nofade,2,0.021522116519085466,0.02192797657663237,50,0.010084314541483992,0.036585407054657376,0.007663189334697978,0.03893400249368162
spec_bounded_weekly_break_0.25_epw3_fixed_low,bounded,weekly_break_0.25,3,fixed_low,autonomy_first,scaffolding_rapid,2,0.06838790369504824,0.07102660045422882,50,0.04610772353099947,0.08427726295716727,0.04120969949329809,0.08569135160773844
