scenario,mediator,outcome,year,sc_full_median,sc_held_median,contribution,per_draw_median,per_draw_lo90,per_draw_hi90,per_draw_lo95,per_draw_hi95,small_full_sc
scaffolding_rapid,E,K,10,0.01283661435459529,0.008151064385889157,0.36501446871221044,0.43025190210262054,0.30170014366769216,0.674191627017993,0.29875074822211795,0.7092976444376066,False
scaffolding_rapid,E,R,10,0.10429457938427811,0.09621292745459001,0.07748870533252628,0.06500025322904796,0.03193966602259658,0.11307039970886398,0.02900401963461298,0.1253316195486273,False
scaffolding_rapid,E,M,10,-0.022999565840386163,-0.02253550415123665,0.020176976051201945,0.01270814588433078,-0.029156433696199392,0.027737324197035562,-0.05140602771633103,0.03224209443378546,False
scaffolding_rapid,E,D,10,-0.09152383774304354,-0.08110691850675844,0.11381646020494651,0.07983590737017798,0.036473945256962986,0.15540087756287244,0.035681034775018716,0.16642492302225337,False
scaffolding_rapid,E,unaided,10,0.027938425150193423,0.0222369008024912,0.20407465048769047,0.22898175875063637,0.1490239984368316,0.31400215710644713,0.1442628235617032,0.3376750804546178,False
scaffolding_rapid,E,far,10,0.024098813375716635,0.018219214126286312,0.2439787867461951,0.2086023476289433,0.137552025930322,0.29651663613750995,0.12986466692383034,0.3224342310302858,False
scaffolding_rapid,E,retention,10,0.02418341820467081,0.01888056282192776,0.21927650334057625,0.18892025431198795,0.12515962323275168,0.27927708733759304,0.11142632709169054,0.2980804997619269,False
scaffolding_rapid,E,G,10,0.04651907879492746,0.04092966590964955,0.12015312921216736,0.10707850233986999,0.05887304498588338,0.1802721527538976,0.053516741882592984,0.1989491321949648,False
scaffolding_rapid,F,K,10,0.01283661435459529,0.0048080839601269895,0.6254398685424575,0.6409147289056905,0.2646224411656586,0.8428550363921944,0.19045773862723375,0.8491940706342379,False
scaffolding_rapid,F,R,10,0.10429457938427811,0.08971160373696314,0.13982486657895543,0.08131501127118823,0.033411829434249286,0.18672680849048737,0.020301126860398682,0.20172389570549254,False
scaffolding_rapid,F,M,10,-0.022999565840386163,-0.022972780880629207,0.0011645854509967357,0.0044991720122896095,-0.1297703474922704,0.02803250973822981,-0.16578455428380393,0.0336803599475329,False
scaffolding_rapid,F,D,10,-0.09152383774304354,-0.07298971000136409,0.2025060159050004,0.11673001011512762,0.04221554573387512,0.273239041224571,0.03209677162655741,0.3000673212745796,False
scaffolding_rapid,F,unaided,10,0.027938425150193423,0.016129204024520595,0.42268743002470455,0.34502153235694283,0.1764290041372313,0.5599034901423684,0.1267138247637821,0.5711860836198513,False
scaffolding_rapid,F,far,10,0.024098813375716635,0.017659232638853453,0.2672156772396137,0.23501098462081138,0.07852978980965558,0.4444848638221402,0.04466879201774139,0.45535308099712823,False
scaffolding_rapid,F,retention,10,0.02418341820467081,0.016991107630491706,0.2974066988094336,0.24276672038384178,0.09294059684655434,0.4460034267827496,0.06273450371047087,0.45294598814105563,False
scaffolding_rapid,F,G,10,0.04651907879492746,0.03646518126628781,0.21612417505000014,0.14173477469971063,0.05191692023250638,0.3462595909370151,0.03660423876651181,0.35324133347930886,False
scaffolding_rapid,D,K,10,0.01283661435459529,0.01188895494245486,0.07382471623455644,0.07534735710430207,0.05187570547270027,0.1020349770620513,0.04831312451457318,0.106429555913472,False
scaffolding_rapid,D,R,10,0.10429457938427811,0.09609891361903769,0.07858189575743069,0.071536279564751,0.03451365459889141,0.08789942827539708,0.027635749251242212,0.09097792376392441,False
scaffolding_rapid,D,M,10,-0.022999565840386163,-0.02299635917557344,0.00013942284106482905,0.00012818734854858072,-0.027676967132173255,0.006029104587034223,-0.03871054920954488,0.007431517090046883,False
scaffolding_rapid,D,D,10,-0.09152383774304354,-0.08379656810492236,0.08442903869280227,0.07721735039408684,0.0382583476581438,0.09408315414160405,0.033871018215086035,0.09819917069922073,False
scaffolding_rapid,D,unaided,10,0.027938425150193423,0.025756372550680577,0.07810220467984175,0.08545579021815103,0.052550009820987925,0.1008939400556857,0.049490168146938934,0.10406062036564835,False
scaffolding_rapid,D,far,10,0.024098813375716635,0.022047863549581236,0.08510584293756374,0.07948916701913877,0.04441583516636309,0.09872203650769674,0.038840786491945875,0.10530159927046923,False
scaffolding_rapid,D,retention,10,0.02418341820467081,0.02207821709139723,0.08705142901870577,0.08229239500387125,0.047699962199592084,0.09969733279886836,0.04159862723515363,0.1021188653773516,False
scaffolding_rapid,D,G,10,0.04651907879492746,0.04276390890630273,0.08072322122239028,0.08267344098347551,0.044604539009488846,0.09685452466469334,0.03658365112748095,0.09977852513723878,False
scaffolding_nofade,E,K,10,0.020299362418681598,0.018160225777375034,0.1053794989806136,0.14470125569703363,0.07437479691210372,0.23678973333709993,0.06316548553617017,0.268016486693215,False
scaffolding_nofade,E,R,10,0.020045969436527457,0.017604638549902737,0.12178662121354755,0.1316102674431418,0.0752999224436331,0.2003474391081625,0.06958362457587232,0.22144849761181606,False
scaffolding_nofade,E,M,10,-0.00025757049430254024,-0.0001949861051499214,0.24297965231649443,0.1286660762351423,0.02987212222587096,0.5363983411532148,0.012526061065502317,0.7655290848090374,True
