tag,form,forgetting,epw,effort,wpm,metric,winsorize,network_weights,mechanism,scenario,network,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,auc,True,area,A,substitution,Cont,2,0.14942064427591745,0.056497073245836624,20,-0.3527625640629492,0.6312815209028961,-0.3698571565050926,0.7489901916619308
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,auc,True,equal,A,substitution,Cont,2,-0.0050079809994158925,-0.08669054855204823,20,-0.4919390696549368,0.45835425230387716,-0.5111337368514105,0.5650635264966972
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,auc,False,area,A,substitution,Cont,2,0.21103537842928088,0.11379100409044603,20,-0.2990682063332544,0.704800207865562,-0.3149327149975629,0.8297089134386088
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,auc,False,equal,A,substitution,Cont,2,0.06977325953720612,-0.016977610274825635,20,-0.42666153070309937,0.5471120357336328,-0.4442022637289779,0.6612484067154539
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,mean,True,area,A,substitution,Cont,2,-0.7953465590935116,-0.8139319714581655,20,-1.2491354304401137,-0.46795231805594634,-1.2538484801583831,-0.39263761337606207
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,mean,True,equal,A,substitution,Cont,2,-0.9306048716766501,-0.9367479369420268,20,-1.3688179530648175,-0.6300132472779227,-1.3742184276030018,-0.5520034087455943
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,mean,False,area,A,substitution,Cont,2,-0.6882104925923036,-0.7240593050697666,20,-1.1530340691041978,-0.33203532088974963,-1.1571064675672427,-0.26986940885086214
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,mean,False,equal,A,substitution,Cont,2,-0.7970665758929529,-0.8286959016545048,20,-1.2488311411692483,-0.4621170204288299,-1.2536293221580568,-0.3993932615368796
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,peak,True,area,A,substitution,Cont,3,2.880584833991871,2.7025546663176394,20,2.086242530078128,4.07634917041058,1.9963224945493816,4.180461618567203
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,peak,True,equal,A,substitution,Cont,3,2.852843194079189,2.6804110333880242,20,2.064031042169089,4.013891652364754,1.9823276920791868,4.126083759619283
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,peak,False,area,A,substitution,Cont,3,2.9065639923161557,2.727842039371075,20,2.1085509895975862,4.11068886595097,2.0166873676741246,4.219685440844071
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,220,peak,False,equal,A,substitution,Cont,3,2.861944018079826,2.688966691170487,20,2.0710421467074975,4.024125330561882,1.9894034837518557,4.1417718497470615
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,180,auc,True,area,A,substitution,Cont,2,2.0231831635514403,1.8288220625100235,20,1.304274163510032,3.193072829489317,1.1958882351518678,3.23945684913433
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,180,auc,True,equal,A,substitution,Cont,2,1.8956779533307213,1.7131721517411285,20,1.1890335205008304,3.0114436380303182,1.0949697268974914,3.0589837996644977
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,180,auc,False,area,A,substitution,Cont,2,2.04620640750239,1.852062464999662,20,1.3254209835612227,3.215268809609427,1.2160370364704356,3.2653717379693172
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,180,auc,False,equal,A,substitution,Cont,2,1.9254340195564592,1.742400915643651,20,1.2163397125943631,3.044089780090055,1.1204842166234168,3.094457180817467
spec_bounded_weekly_break_0.25_epw3_drawn,bounded,weekly_break_0.25,3,drawn,180,mean,True,area,A,substitution,Cont,2,1.7625058099838533,1.6080365599168176,20,1.0423918942715489,2.9047041027777523,0.9383571881537534,2.9284350746567576
