scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive,episodes_per_week,run
free_choice,D,1,0.011740624344448957,0.011675088358662525,200,0.008721272029210468,0.014892667217170462,0.008183849894474366,0.015318043702208546,0.88846,1.0,1,v_epw1
free_choice,D,5,0.03996882755771154,0.04030986089449164,200,0.028557831300285136,0.04787462931884203,0.027904731930958188,0.04991458448689157,0.9958449999999999,1.0,1,v_epw1
free_choice,D,10,0.04923786838965418,0.050010418888588745,200,0.037344931063008895,0.059396823654367575,0.034621106411304496,0.06127983273552608,0.99912,1.0,1,v_epw1
free_choice,G,1,-0.011769457940095918,-0.011814623098252004,200,-0.013749744701977712,-0.009928048972381009,-0.01407823573999429,-0.009613921794094657,0.08186,0.0,1,v_epw1
free_choice,G,5,-0.028808709576790426,-0.02936431885560499,200,-0.03521071445277127,-0.02106114630067952,-0.0362231667310943,-0.01981285578520884,0.004260000000000001,0.0,1,v_epw1
free_choice,G,10,-0.040507245307252776,-0.040749833743334275,200,-0.049206327382483,-0.030761665279202773,-0.05026719705441122,-0.02647667940052062,0.00096,0.0,1,v_epw1
free_choice,K,1,-0.013931249512697924,-0.01391499923656125,200,-0.016569186536150464,-0.011230106114735131,-0.017087828260405433,-0.010830073482203688,0.222105,0.0,1,v_epw1
free_choice,K,5,-0.02324828917376482,-0.02358978825408911,200,-0.031617512311783245,-0.014324237992571192,-0.03396896633156928,-0.013107266145510202,0.17735,0.0,1,v_epw1
free_choice,K,10,-0.0356493471323046,-0.03604914974850877,200,-0.04893239275529575,-0.020795946846804282,-0.05116939516073232,-0.01520072542630301,0.12059000000000002,0.0,1,v_epw1
free_choice,far,1,-0.012807518378184134,-0.012728388752960923,200,-0.015249061091447563,-0.01065308020159377,-0.015678980477016446,-0.010078514402460905,0.16906500000000002,0.0,1,v_epw1
free_choice,far,5,-0.0181800372378945,-0.01823974195194504,200,-0.022823688608188543,-0.013732248072979597,-0.023633267589399345,-0.012276155549335685,0.05357,0.0,1,v_epw1
free_choice,far,10,-0.01945339556203805,-0.01965753253352151,200,-0.026649951696279598,-0.013009612457240822,-0.02809042751394154,-0.011678902427978744,0.018879999999999997,0.0,1,v_epw1
free_choice,p_request,1,0.012041352700462606,0.011953041547091729,200,0.009461550608120027,0.015008355026712203,0.008980378223037627,0.015399250054964153,0.8706900000000001,1.0,1,v_epw1
free_choice,p_request,5,0.027096573434768415,0.02744431094691977,200,0.019912157706124506,0.03266564654429398,0.018271990107709326,0.034341881948037445,0.9867349999999999,1.0,1,v_epw1
free_choice,p_request,10,0.031104397637040215,0.03135994292509259,200,0.02289789540108694,0.03857342394800184,0.020123531105289024,0.03998114319858082,0.993355,1.0,1,v_epw1
free_choice,retention,1,-0.012768086229181385,-0.012757082363745972,200,-0.015710775303643038,-0.010077252068313641,-0.01611458928335435,-0.009457834486009111,0.163065,0.0,1,v_epw1
free_choice,retention,5,-0.02218553632022581,-0.022104846415213576,200,-0.02815515312316495,-0.0159419759922256,-0.02945863277327788,-0.014770843896812989,0.045155000000000015,0.0,1,v_epw1
free_choice,retention,10,-0.027553004059812817,-0.0276877030543349,200,-0.035731846897612274,-0.018999247738511586,-0.037091781246787914,-0.018101666357241128,0.01541,0.0,1,v_epw1
free_choice,unaided,1,-0.015898182460943263,-0.015828316028521423,200,-0.020089819959521103,-0.012175877690807784,-0.02052157030867064,-0.011892187587533824,0.16906500000000002,0.0,1,v_epw1
free_choice,unaided,5,-0.027918795833912494,-0.028151442172854188,200,-0.035997392553812145,-0.019415715964315055,-0.037764075912216685,-0.017417645959642174,0.05357,0.0,1,v_epw1
free_choice,unaided,10,-0.03477734720557826,-0.0345948530888983,200,-0.04467063792777847,-0.023812614411266555,-0.04706576185863551,-0.021812489998659826,0.018879999999999997,0.0,1,v_epw1
scaffolding_nofade,D,1,-0.0047174343858733285,-0.004549751447364829,200,-0.006785558695283488,-0.0031544976081998278,-0.006885069910069104,-0.0030431403752158074,5e-06,0.0,1,v_epw1
scaffolding_nofade,D,5,-0.020530485281220336,-0.020234184522944322,200,-0.027445100059749192,-0.013909532016300914,-0.02907892685900112,-0.012945493921304785,5e-06,0.0,1,v_epw1
scaffolding_nofade,D,10,-0.03041926578581222,-0.03019644125156565,200,-0.03894770714013596,-0.021658649389741366,-0.039131704447001585,-0.019895237894081853,5e-06,0.0,1,v_epw1
scaffolding_nofade,G,1,0.005857966350785849,0.0057345674183365055,200,0.004722672216038431,0.0074868161793735675,0.004562003845915769,0.007823933661099536,0.999615,1.0,1,v_epw1
scaffolding_nofade,G,5,0.014533646510529796,0.01442558012099358,200,0.0107334330054008,0.01908734647183821,0.009720745009349479,0.019562272902309576,0.9999850000000001,1.0,1,v_epw1
scaffolding_nofade,G,10,0.0220100506307712,0.021758203540610203,200,0.01513712427345071,0.02944089338128562,0.013790587103108156,0.029901111145625933,1.0,1.0,1,v_epw1
scaffolding_nofade,K,1,0.01732647404185215,0.017018730927738795,200,0.014473037949808316,0.021462172483075137,0.013727784539680418,0.022211350328306425,0.9996200000000001,1.0,1,v_epw1
scaffolding_nofade,K,5,0.02581980126069773,0.025548415014091545,200,0.019328350176142328,0.033434271014254564,0.017539506812495546,0.03520300819653292,0.9999800000000001,1.0,1,v_epw1
scaffolding_nofade,K,10,0.035546707904183246,0.03523864356257926,200,0.020996463907110033,0.052548723946332136,0.020238770310428065,0.05622744538863141,0.999955,1.0,1,v_epw1
scaffolding_nofade,far,1,0.012638341498718321,0.012576194280110774,200,0.010001765830352023,0.01537205824050027,0.009603841380134013,0.01621165120005073,0.9995400000000001,1.0,1,v_epw1
scaffolding_nofade,far,5,0.016464647743131444,0.016592010035860826,200,0.01338528521364145,0.019437917457353897,0.012780345005125376,0.020218095577012627,0.9999799999999999,1.0,1,v_epw1
scaffolding_nofade,far,10,0.01703011193264591,0.017094859349877766,200,0.013565729099750259,0.02002083664161304,0.01246196568211933,0.021260275764320557,0.99997,1.0,1,v_epw1
scaffolding_nofade,p_request,1,-0.010347373685081653,-0.010153503601795157,200,-0.013917673502068446,-0.007678199777239124,-0.015151678805925566,-0.007101884548093948,0.0,0.0,1,v_epw1
scaffolding_nofade,p_request,5,-0.020306393519035373,-0.020312092704915866,200,-0.02664605359478864,-0.014782764514946352,-0.02764102085591626,-0.013337354372816664,0.0,0.0,1,v_epw1
scaffolding_nofade,p_request,10,-0.02500004285430582,-0.025075739298846815,200,-0.03118212217612054,-0.017965282221681665,-0.03152033464831553,-0.01681672405344913,0.0,0.0,1,v_epw1
scaffolding_nofade,retention,1,0.01186148668721906,0.011667138794505594,200,0.008634459929211469,0.015290861869590524,0.008444401548999858,0.01636026302245062,0.999565,1.0,1,v_epw1
scaffolding_nofade,retention,5,0.018244751342323052,0.018103968411831838,200,0.013278812768214484,0.023143642394333596,0.01277233058596899,0.02391510382555912,0.9999850000000001,1.0,1,v_epw1
scaffolding_nofade,retention,10,0.02212834574481972,0.02231462693084131,200,0.015825627140920766,0.027490741886748982,0.014935022852996874,0.028339537306319437,0.99997,1.0,1,v_epw1
scaffolding_nofade,unaided,1,0.015057662880250122,0.01472444668194062,200,0.010994297945416428,0.020546829998815047,0.010434806752373895,0.021579136577747814,0.9995400000000001,1.0,1,v_epw1
scaffolding_nofade,unaided,5,0.0234774299392,0.023044071925383686,200,0.017227318958423197,0.03082067753863188,0.015244986057084057,0.031822519599506,0.9999799999999999,1.0,1,v_epw1
scaffolding_nofade,unaided,10,0.028510058746705882,0.02888448120171727,200,0.020779785709924056,0.03585855464254225,0.017822603732641554,0.036704147700317734,0.99997,1.0,1,v_epw1
scaffolding_rapid,D,1,-0.01969494451788077,-0.019503969909449113,200,-0.02537838569360775,-0.014003922957330519,-0.02565300587214877,-0.013192420226889623,0.0007400000000000001,0.0,1,v_epw1
scaffolding_rapid,D,5,-0.06341567704726211,-0.06399682527023653,200,-0.07523858076576907,-0.04961993984332314,-0.0769498506001097,-0.04595003894019464,0.0,0.0,1,v_epw1
scaffolding_rapid,D,10,-0.07606410279333572,-0.0767699030271993,200,-0.08924861115055932,-0.06227802439421312,-0.09021541192532653,-0.05567665347188624,0.0,0.0,1,v_epw1
