stimulus_id,unit_id,condition,variant,text,modality,example_count,word_count,sentence_count,character_count,readability,equation_count,lexical_diversity,duration
npv_002_traditional,npv_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/npv_002.md,text,1,532,36,3180,6.79,9,0.361,145.1
npv_002_ai_scaffolding,npv_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/npv_002.md,text,1,556,36,3180,7.05,4,0.372,151.6
npv_002_ai_substitution,npv_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/npv_002.md,text,1,545,34,3270,7.42,9,0.393,148.6
pbp_001_traditional,pbp_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/pbp_001.md,text,1,582,31,3421,9.33,6,0.375,158.7
pbp_001_ai_scaffolding,pbp_001,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/pbp_001.md,text,1,590,31,3397,9.19,4,0.398,160.9
pbp_001_ai_substitution,pbp_001,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/pbp_001.md,text,1,603,31,3535,9.33,6,0.375,164.5
pbp_002_traditional,pbp_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/pbp_002.md,text,1,558,31,3257,8.41,6,0.4,152.2
pbp_002_ai_scaffolding,pbp_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/pbp_002.md,text,1,578,32,3303,8.28,4,0.408,157.6
pbp_002_ai_substitution,pbp_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/pbp_002.md,text,1,578,31,3404,8.77,6,0.393,157.6
pel_001_traditional,pel_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/pel_001.md,text,1,505,30,3138,9.39,8,0.364,137.7
pel_001_ai_scaffolding,pel_001,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/pel_001.md,text,1,507,31,3037,8.99,5,0.389,138.3
pel_001_ai_substitution,pel_001,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/pel_001.md,text,1,511,30,3129,9.23,8,0.391,139.4
pel_002_traditional,pel_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/pel_002.md,text,1,487,30,2953,8.6,6,0.382,132.8
pel_002_ai_scaffolding,pel_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/pel_002.md,text,1,503,31,2979,8.71,5,0.392,137.2
pel_002_ai_substitution,pel_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/pel_002.md,text,1,484,28,2965,9.31,6,0.413,132.0
